price,city,area,district,bedrooms,apartment,bathrooms,furnished,kitchen,floor,air_condition,source
75000,مدينة الرياض,123,حي العارض,,شقة,0,No,Yes,Unknown,No,aqar
115000,مدينة الرياض,125,حي العارض,3,شقة,3,Yes,Yes,1,Yes,aqar
40000,مدينة الرياض,100,حي الياسمين,1,شقة,0,No,Yes,Unknown,No,aqar
70000,مدينة الرياض,132,حي النرجس,3,شقة,4,No,Yes,2,Yes,aqar
62400,مدينة الرياض,90,حي العقيق,2,شقة,1,No,Yes,1,Yes,aqar
42000,مدينة الرياض,420,حي العارض,3,شقة,2,No,No,2,No,aqar
45000,مدينة الرياض,450,حي ظهرة لبن,3,شقة,2,No,Yes,3,Yes,aqar
80000,مدينة الرياض,114,حي قرطبة,2,شقة,0,Yes,No,Unknown,Yes,aqar
4150,مدينة الرياض,70,حي الوادي,1,شقة,1,No,No,1,No,aqar
30000,مدينة الرياض,2125,حي العمل,,شقة,1,No,No,1,No,aqar
45000,مدينة الرياض,143,حي العارض,3,شقة,3,No,Yes,2,Yes,aqar
26000,مدينة الرياض,94,حي المروة,2,شقة,1,No,Yes,2,Yes,aqar
95000,مدينة الرياض,128,حي حطين,4,شقة,3,No,Yes,1,Yes,aqar
73000,مدينة الرياض,133,حي النرجس,3,شقة,3,No,Yes,1,No,aqar
85000,مدينة الرياض,131,حي الملقا,3,شقة,3,No,Yes,1,No,aqar
65000,مدينة الرياض,92,حي النفل,2,شقة,2,No,Yes,3,Yes,aqar
40000,مدينة الرياض,119,حي اليرموك,3,شقة,2,No,Yes,3,Yes,aqar
49800,مدينة الرياض,813,حي الملقا,1,شقة,1,No,No,3,No,aqar
30000,مدينة الرياض,375,حي بدر,3,شقة,2,No,Yes,2,No,aqar
34000,مدينة الرياض,118,حي المهدية,3,شقة,2,No,Yes,3,No,aqar
50000,مدينة الرياض,146,حي ظهرة لبن,4,شقة,3,No,Yes,2,Yes,aqar
69000,مدينة الخبر,183,حي البحر,4,شقة,2,No,Yes,Unknown,No,aqar
75000,مدينة الرياض,153,حي الملقا,3,شقة,3,No,Yes,2,Yes,aqar
16000,مدينة الخبر,120,حي الخبرالشمالية,3,شقة,2,No,Yes,2,No,aqar
90000,مدينة الرياض,198,حي الندى,3,شقة,3,Yes,Yes,2,Yes,aqar
45000,مدينة الرياض,336,حي العارض,2,شقة,2,No,Yes,1,No,aqar
65000,مدينة الرياض,150,حي النرجس,3,شقة,3,No,No,3,No,aqar
85000,مدينة الرياض,124,حي قرطبة,3,شقة,3,No,Yes,3,Yes,aqar
28000,مدينة الرياض,395,حي الرمال,3,شقة,0,No,Yes,Unknown,Yes,aqar
